,fips,County,Year,Citizens,State
134,48131,Duval County,2006,12299,Texas
135,48133,Eastland County,2006,18464,Texas
136,48135,Ector County,2006,130731,Texas
137,48137,Edwards County,2006,2065,Texas
138,48139,Ellis County,2006,134328,Texas
139,48141,El Paso County,2006,752219,Texas
140,48143,Erath County,2006,35932,Texas
141,48145,Falls County,2006,18145,Texas
142,48147,Fannin County,2006,32836,Texas
143,48149,Fayette County,2006,23460,Texas
144,48151,Fisher County,2006,4124,Texas
145,48153,Floyd County,2006,6975,Texas
146,48155,Foard County,2006,1450,Texas
147,48157,Fort Bend County,2006,492528,Texas
148,48159,Franklin County,2006,10134,Texas
149,48161,Freestone County,2006,19030,Texas
150,48163,Frio County,2006,16832,Texas
151,48165,Gaines County,2006,16300,Texas
152,48167,Galveston County,2006,274855,Texas
153,48169,Garza County,2006,5827,Texas
154,48171,Gillespie County,2006,23224,Texas
155,48173,Glasscock County,2006,1300,Texas
156,48175,Goliad County,2006,7095,Texas
157,48177,Gonzales County,2006,19327,Texas
158,48179,Gray County,2006,22619,Texas
159,48181,Grayson County,2006,116754,Texas
160,48183,Gregg County,2006,117578,Texas
161,48185,Grimes County,2006,25366,Texas
162,48187,Guadalupe County,2006,114462,Texas
163,48189,Hale County,2006,36365,Texas
164,48191,Hall County,2006,3524,Texas
165,48193,Hamilton County,2006,8397,Texas
166,48195,Hansford County,2006,5515,Texas
167,48197,Hardeman County,2006,4372,Texas
168,48199,Hardin County,2006,52011,Texas
169,48201,Harris County,2006,3816368,Texas
170,48203,Harrison County,2006,64224,Texas
171,48205,Hartley County,2006,5852,Texas
172,48207,Haskell County,2006,5977,Texas
173,48209,Hays County,2006,133426,Texas
174,48211,Hemphill County,2006,3625,Texas
175,48213,Henderson County,2006,76362,Texas
176,48215,Hidalgo County,2006,692500,Texas
177,48217,Hill County,2006,33973,Texas
178,48219,Hockley County,2006,22843,Texas
179,48221,Hood County,2006,47092,Texas
180,48223,Hopkins County,2006,33880,Texas
181,48225,Houston County,2006,23497,Texas
182,48227,Howard County,2006,34459,Texas
183,48229,Hudspeth County,2006,3425,Texas
184,48231,Hunt County,2006,82322,Texas
185,48233,Hutchinson County,2006,22895,Texas
186,48235,Irion County,2006,1664,Texas
187,48237,Jack County,2006,8926,Texas
188,48239,Jackson County,2006,14199,Texas
189,48241,Jasper County,2006,35646,Texas
190,48243,Jeff Davis County,2006,2288,Texas
191,48245,Jefferson County,2006,252153,Texas
192,48247,Jim Hogg County,2006,5293,Texas
193,48249,Jim Wells County,2006,40239,Texas
194,48251,Johnson County,2006,141212,Texas
195,48253,Jones County,2006,20432,Texas
196,48255,Karnes County,2006,15072,Texas
197,48257,Kaufman County,2006,90598,Texas
198,48259,Kendall County,2006,29563,Texas
199,48261,Kenedy County,2006,413,Texas
200,48263,Kent County,2006,828,Texas
201,48265,Kerr County,2006,47233,Texas
202,48267,Kimble County,2006,4547,Texas
203,48269,King County,2006,313,Texas
204,48271,Kinney County,2006,3508,Texas
205,48273,Kleberg County,2006,31880,Texas
206,48275,Knox County,2006,3932,Texas
207,48277,Lamar County,2006,49269,Texas
208,48279,Lamb County,2006,14270,Texas
209,48281,Lampasas County,2006,18938,Texas
210,48283,La Salle County,2006,6476,Texas
211,48285,Lavaca County,2006,19245,Texas
212,48287,Lee County,2006,16226,Texas
213,48289,Leon County,2006,16203,Texas
214,48291,Liberty County,2006,73463,Texas
215,48293,Limestone County,2006,22852,Texas
216,48295,Lipscomb County,2006,3201,Texas
217,48297,Live Oak County,2006,11824,Texas
218,48299,Llano County,2006,18379,Texas
219,48301,Loving County,2006,76,Texas
220,48303,Lubbock County,2006,264408,Texas
221,48305,Lynn County,2006,6167,Texas
222,48307,McCulloch County,2006,8251,Texas
223,48309,McLennan County,2006,226349,Texas
224,48311,McMullen County,2006,763,Texas
225,48313,Madison County,2006,13378,Texas
226,48315,Marion County,2006,10697,Texas
227,48317,Martin County,2006,4777,Texas
228,48319,Mason County,2006,3901,Texas
229,48321,Matagorda County,2006,37188,Texas
230,48323,Maverick County,2006,51468,Texas
231,48325,Medina County,2006,43330,Texas
232,48327,Menard County,2006,2288,Texas
233,48329,Midland County,2006,128536,Texas
234,48331,Milam County,2006,24547,Texas
235,48333,Mills County,2006,5021,Texas
236,48335,Mitchell County,2006,9520,Texas
237,48337,Montague County,2006,19475,Texas
238,48339,Montgomery County,2006,390961,Texas
239,48341,Moore County,2006,21191,Texas
240,48343,Morris County,2006,12977,Texas
241,48345,Motley County,2006,1291,Texas
242,48347,Nacogdoches County,2006,62393,Texas
243,48349,Navarro County,2006,46749,Texas
244,48351,Newton County,2006,14688,Texas
245,48353,Nolan County,2006,15451,Texas
246,48355,Nueces County,2006,329538,Texas
247,48357,Ochiltree County,2006,9734,Texas
248,48359,Oldham County,2006,2104,Texas
249,48361,Orange County,2006,83115,Texas
250,48363,Palo Pinto County,2006,27679,Texas
251,48365,Panola County,2006,23381,Texas
252,48367,Parker County,2006,105545,Texas
253,48369,Parmer County,2006,10164,Texas
254,48371,Pecos County,2006,16021,Texas
255,48373,Polk County,2006,43709,Texas
256,48375,Potter County,2006,118108,Texas
257,48377,Presidio County,2006,7611,Texas
258,48379,Rains County,2006,10200,Texas
259,48381,Randall County,2006,114102,Texas
260,48383,Reagan County,2006,3350,Texas
261,48385,Real County,2006,3203,Texas
262,48387,Red River County,2006,13444,Texas
263,48389,Reeves County,2006,13526,Texas
264,48391,Refugio County,2006,7561,Texas
265,48393,Roberts County,2006,912,Texas
266,48395,Robertson County,2006,16360,Texas
267,48397,Rockwall County,2006,64207,Texas
268,48399,Runnels County,2006,10892,Texas
269,48401,Rusk County,2006,50948,Texas
270,48403,Sabine County,2006,10662,Texas
271,48405,San Augustine County,2006,8892,Texas
272,48407,San Jacinto County,2006,24710,Texas
273,48409,San Patricio County,2006,65790,Texas
274,48411,San Saba County,2006,6152,Texas
275,48413,Schleicher County,2006,3250,Texas
276,48415,Scurry County,2006,16697,Texas
277,48417,Shackelford County,2006,3348,Texas
278,48419,Shelby County,2006,25354,Texas
279,48421,Sherman County,2006,3094,Texas
280,48423,Smith County,2006,195779,Texas
281,48425,Somervell County,2006,7859,Texas
282,48427,Starr County,2006,58010,Texas
283,48429,Stephens County,2006,9648,Texas
284,48431,Sterling County,2006,1243,Texas
285,48433,Stonewall County,2006,1570,Texas
286,48435,Sutton County,2006,4106,Texas
287,48437,Swisher County,2006,8063,Texas
288,48439,Tarrant County,2006,1666109,Texas
289,48441,Taylor County,2006,129547,Texas
290,48443,Terrell County,2006,1022,Texas
291,48445,Terry County,2006,12693,Texas
292,48447,Throckmorton County,2006,1723,Texas
293,48449,Titus County,2006,30647,Texas
294,48451,Tom Green County,2006,107742,Texas
295,48453,Travis County,2006,939387,Texas
296,48455,Trinity County,2006,14304,Texas
297,48457,Tyler County,2006,21392,Texas
298,48459,Upshur County,2006,37712,Texas
299,48461,Upton County,2006,3372,Texas
300,48463,Uvalde County,2006,26210,Texas
301,48465,Val Verde County,2006,47261,Texas
302,48467,Van Zandt County,2006,50787,Texas
303,48469,Victoria County,2006,85706,Texas
304,48471,Walker County,2006,65419,Texas
305,48473,Waller County,2006,38984,Texas
306,48475,Ward County,2006,10758,Texas
307,48477,Washington County,2006,32381,Texas
308,48479,Webb County,2006,227432,Texas
309,48481,Wharton County,2006,41244,Texas
310,48483,Wheeler County,2006,5359,Texas
311,48485,Wichita County,2006,131677,Texas
312,48487,Wilbarger County,2006,13992,Texas
313,48489,Willacy County,2006,21313,Texas
314,48491,Williamson County,2006,353687,Texas
315,48493,Wilson County,2006,38708,Texas
316,48495,Winkler County,2006,7135,Texas
317,48497,Wise County,2006,54975,Texas
318,48499,Wood County,2006,39867,Texas
