,County,County Code,Year,Deaths,State
7264,Volusia,12127,2013,100,FL
7265,Volusia,12127,2014,75,FL
7266,Volusia,12127,2015,98,FL
7308,Walla Walla,53071,2014,13,WA
7309,Wal,12131,2005,10,FL
7310,Wal,12131,2006,16,FL
7311,Wal,12131,2007,12,FL
7523,Webb,48479,2003,10,TX
7524,Webb,48479,2004,10,TX
7525,Webb,48479,2005,13,TX
7526,Webb,48479,2007,17,TX
7527,Webb,48479,2008,20,TX
7528,Webb,48479,2009,28,TX
7529,Webb,48479,2010,23,TX
7530,Webb,48479,2011,19,TX
7531,Webb,48479,2012,29,TX
7532,Webb,48479,2013,29,TX
7533,Webb,48479,2014,22,TX
7534,Webb,48479,2015,24,TX
7584,Whatcom,53073,2003,14,WA
7585,Whatcom,53073,2004,12,WA
7586,Whatcom,53073,2005,16,WA
7587,Whatcom,53073,2006,22,WA
7588,Whatcom,53073,2007,12,WA
7589,Whatcom,53073,2008,17,WA
7590,Whatcom,53073,2009,18,WA
7591,Whatcom,53073,2010,14,WA
7592,Whatcom,53073,2011,19,WA
7593,Whatcom,53073,2012,13,WA
7594,Whatcom,53073,2013,13,WA
7595,Whatcom,53073,2014,14,WA
7596,Whatcom,53073,2015,23,WA
7617,Wichita,48485,2003,16,TX
7618,Wichita,48485,2004,12,TX
7619,Wichita,48485,2005,15,TX
7620,Wichita,48485,2006,19,TX
7621,Wichita,48485,2007,13,TX
7622,Wichita,48485,2008,29,TX
7623,Wichita,48485,2009,26,TX
7624,Wichita,48485,2010,16,TX
7625,Wichita,48485,2011,18,TX
7626,Wichita,48485,2012,18,TX
7627,Wichita,48485,2013,16,TX
7628,Wichita,48485,2014,19,TX
7629,Wichita,48485,2015,17,TX
7670,Williams,48491,2003,11,TX
7671,Williams,48491,2004,12,TX
7672,Williams,48491,2005,14,TX
7673,Williams,48491,2006,23,TX
7674,Williams,48491,2007,17,TX
7675,Williams,48491,2008,18,TX
7676,Williams,48491,2009,34,TX
7677,Williams,48491,2010,27,TX
7678,Williams,48491,2011,31,TX
7679,Williams,48491,2012,28,TX
7680,Williams,48491,2013,34,TX
7681,Williams,48491,2014,27,TX
7682,Williams,48491,2015,27,TX
7792,Yakima,53077,2003,10,WA
7793,Yakima,53077,2004,19,WA
7794,Yakima,53077,2005,11,WA
7795,Yakima,53077,2006,12,WA
7796,Yakima,53077,2007,24,WA
7797,Yakima,53077,2008,10,WA
7798,Yakima,53077,2009,17,WA
7799,Yakima,53077,2010,24,WA
7800,Yakima,53077,2011,14,WA
7801,Yakima,53077,2012,25,WA
7802,Yakima,53077,2013,14,WA
7803,Yakima,53077,2014,23,WA
7804,Yakima,53077,2015,26,WA
